HOLE_ID,EASTING,NORTHING,ELEVATION,TD,PROJECT_FK,START_DATE,END_DATE,GEOLOGIST_NAME,GEOLOGY_GROUP
MDD-16097,2400879.533,4810074.961,608.326,78.5,MNE,11-09-2016 0:00,23-09-2016 0:00,Marcelo Ghidini,CerroNegro
MDD-16101,2400101.355,4808996.222,621.734,529.5,MCSE,30-09-2016 0:00,04-10-2016 0:00,Diego Grill,CerroNegro
MDD-16105,2400249.68,4808986.84,631.14,571.5,MCSE,10-10-2016 0:00,14-10-2016 0:00,Matias Albarracin,CerroNegro
MDD-16111,2400101.39,4808996.24,621.71,468,MCSE,21-10-2016 0:00,24-10-2016 0:00,Diego Grill,CerroNegro
MDD-16121,2400593.19,4810175.16,624.15,475.5,MNE,22-11-2016 0:00,26-11-2016 0:00,Diego Grill,CerroNegro
MDD-16125,2400730.533,4810082.781,617.22,412.5,MNE,09-12-2016 0:00,14-12-2016 0:00,Marcelo Ghidini,CerroNegro
MDD-17002,2400649.57,4810184.06,615.67,93.5,MNE,21-01-2017 0:00,26-01-2017 0:00,Diego Grill,CerroNegro
MDD-17003,2400837.21,4810110.23,608.45,440,MNE,25-01-2017 0:00,04-02-2017 0:00,Marcelo Ghidini,CerroNegro
MDD-17004,2400592.33,4810172.02,624.18,460.5,MNE,26-01-2017 0:00,02-02-2017 0:00,Marcelo Ghidini,CerroNegro
MDD-17015,2400910.122,4810131.991,605.195,364.5,MNE,04-03-2017 0:00,,Marcelo Ghidini,CerroNegro
MDD-17026,2400698.247,4809688.384,627.082,314,MNE,10-04-2017 0:00,,Diego Grill,CerroNegro
MDD-17027,2400326.307,4809016.378,636.453,569,MCSE,11-04-2017 0:00,17-04-2017 0:00,Diego Grill,CerroNegro
MDD-17028,2400614.089,4809644.446,636.255,448.5,MNE,13-04-2017 0:00,,Diego Grill,CerroNegro
MDD-17032,2400798.46,4809669.31,624.19,331.5,MNE,20-04-2017 0:00,24-04-2017 0:00,Marcelo Ghidini,CerroNegro
MDD-17042,2400457.378,4810125.412,646.249,401,MNE,17-05-2017 0:00,27-05-2017 0:00,Marcelo Ghidini,CerroNegro
MDD-17044,2401064.95,4809876.668,611.92,543.5,MNE,01-06-2017 0:00,,Diego Grill,CerroNegro
MDD-17048,2401379.819,4809772.983,611.747,500,MNE,07-06-2017 0:00,,Diego Grill,CerroNegro
MDD-17051,2400596.093,4809340.028,643.0063,512,MCSE,14-09-2017 0:00,,Diego Grill,CerroNegro
MDD-18015,2398014.611,4810511.681,654.879,400.5,MNW,22-06-2018 0:00,,Gaston Relañez,CerroNegro
MDD-18021,2398442.97,4807275.332,677.179,281,MS,05-07-2018 0:00,08-07-2018 0:00,Gaston Relañez,CerroNegro
MDD-11102,2398345.984,4810095.841,644.546,262,MN,09-06-2011 0:00,11-06-2011 0:00,Fernanda Beretta,CerroNegro
MDD-11108,2397964.431,4809797.88,665.993,272,MNW,12-06-2011 0:00,15-06-2011 0:00,Jimena Terron,CerroNegro
MDD-1111,2398448.008,4809565.372,640.198,150,MCEN,01-09-2010 0:00,03-09-2010 0:00,Monica Arrese,CerroNegro
MDD-11110,2399259.814,4810237.474,622.193,310.5,MNSM,14-06-2011 0:00,18-06-2011 0:00,Diego Grill,CerroNegro
MDD-11119,2399958.433,4809389.44,642.218,250.5,MNE,22-06-2011 0:00,23-06-2011 0:00,Maria Lis Fernandez,CerroNegro
MDD-11122,2399344.818,4810528.913,611.828,301.5,MNSM,23-06-2011 0:00,25-06-2011 0:00,Jimena Terron,CerroNegro
MDD-11133,2398568.142,4809880.73,662.355,200,MN,06-07-2011 0:00,10-07-2011 0:00,Jimena Terron,CerroNegro
MDD-11138,2398579.563,4809936.851,655.662,250.8,MN,10-07-2011 0:00,16-07-2011 0:00,Estefania Hergesheimer,CerroNegro
MDD-11160,2399059.735,4809800.833,673.004,223.5,MN,26-07-2011 0:00,30-07-2011 0:00,Jose Fortunatti,CerroNegro
MDD-11164,2398909.646,4809820.186,670.475,169.4,MN,28-07-2011 0:00,29-07-2011 0:00,Fernanda Beretta,CerroNegro
MDD-11168,2399247.516,4808112.677,617.682,302,MCSE,30-07-2011 0:00,03-08-2011 0:00,Jeff Edwards,CerroNegro
MDD-11173,2398679.414,4809933.541,655.084,250.5,MN,02-08-2011 0:00,04-08-2011 0:00,Paula Oviedo,CerroNegro
MDD-11180,2399529.135,4808599.322,598.01,191,MCSE,08-08-2011 0:00,12-08-2011 0:00,Andrea Infante,CerroNegro
MDD-11181,2398434.141,4809991.995,656.018,283.5,MN,09-08-2011 0:00,14-08-2011 0:00,Daniel Correa,CerroNegro
MDD-11186,2399023.153,4809854.794,668.701,256.5,MN,13-08-2011 0:00,16-08-2011 0:00,Estefania Hergesheimer,CerroNegro
MDD-11197,2398393.879,4810017.773,655.006,251.5,MN,22-08-2011 0:00,30-08-2011 0:00,Jose Fortunatti,CerroNegro
MDD-11209,2398700.608,4809451.197,647.488,400,MCEN,04-09-2011 0:00,09-09-2011 0:00,German Escorza,CerroNegro
MDD-1121,2398772.564,4809419.963,650.837,275.8,MCEN,16-09-2010 0:00,18-09-2010 0:00,Mercedes Barros,CerroNegro
MDD-11219,2398489.203,4809803.642,666.625,115,MN,11-09-2011 0:00,11-09-2011 0:00,Daniel Correa,CerroNegro
MDD-11222,2398500.972,4809849.942,663.851,142,MN,12-09-2011 0:00,12-09-2011 0:00,Andrea Infante,CerroNegro
MDD-11226,2398420.197,4809833.907,665.012,136,MN,13-09-2011 0:00,13-09-2011 0:00,Maria Lis Fernandez,CerroNegro
MDD-11227,2398522.512,4809812.37,666.86,166,MN,14-09-2011 0:00,15-09-2011 0:00,Estefania Hergesheimer,CerroNegro
MDD-11234,2398408.349,4809894.69,664.237,181,MN,17-09-2011 0:00,18-09-2011 0:00,Monica Arrese,CerroNegro
MDD-11245,2398968.782,4809778.478,673.659,163.6,MN,24-09-2011 0:00,26-09-2011 0:00,Maria Lis Fernandez,CerroNegro
MDD-11248,2398784.402,4809854.115,663.579,145.5,MN,26-09-2011 0:00,27-09-2011 0:00,Jose Fortunatti,CerroNegro
MDD-11258,2399431.554,4809940.181,649.795,322.5,MNE,01-10-2011 0:00,05-10-2011 0:00,Jimena Terron,CerroNegro
MDD-11263,2399056.397,4809704.145,677.644,250.5,MN,06-10-2011 0:00,08-10-2011 0:00,Paula Oviedo,CerroNegro
MDD-11264,2399499.742,4809795.102,657.948,266,MNE,07-10-2011 0:00,10-10-2011 0:00,Maria Lis Fernandez,CerroNegro
MDD-11269,2398487.131,4809469.338,631.962,100.5,MCEN,12-10-2011 0:00,13-10-2011 0:00,Estefania Hergesheimer,CerroNegro
MDD-1127,2398815.568,4809482.82,659.379,378,MCEN,22-09-2010 0:00,26-09-2010 0:00,Fernanda Beretta,CerroNegro
MDD-11273,2398427.912,4809550.707,640.604,109,MCEN,15-10-2011 0:00,16-10-2011 0:00,Estefania Hergesheimer,CerroNegro
MDD-11285,2399557.022,4809841.277,650.942,300,MNE,25-10-2011 0:00,28-10-2011 0:00,Jose Fortunatti,CerroNegro
MDD-11293,2398800.395,4809474.344,657.429,331,MCEN,30-10-2011 0:00,02-11-2011 0:00,Jose Fortunatti,CerroNegro
MDD-11296,2398680.33,4809602.408,667.026,379.5,MCEN,02-11-2011 0:00,05-11-2011 0:00,Andrea Infante,CerroNegro
ERC-940,2394438.2,4807256.95,618.35,250,EK,26-02-2009 0:00,27-03-2009 0:00,Fabian Ontivero,CerroNegro
ERC-945,2394331.97,4807207.5,621.71,204,EK,04-03-2009 0:00,07-03-2009 0:00,Fabian Ontivero,CerroNegro
ERD-17010,2396256.923,4806639.196,639.572,114,EK,11-10-2017 0:00,12-10-2017 0:00,Analia Bruna,CerroNegro
ERD-17011,2396256.881,4806639.22,639.618,398,EK,21-10-2017 0:00,,Marcelo Ghidini,CerroNegro
ERDD-17001,2412312.62,4810513.21,772.17,203,ER,27-01-2017 0:00,28-01-2017 0:00,Matias Albarracin,CerroNegro
ERDD-17002,2412189.54,4810485.08,776.16,134,ER,27-01-2017 0:00,30-01-2017 0:00,Matias Albarracin,CerroNegro
ERDD-17006,2411974.134,4810013.374,817.174,350,ER,11-02-2017 0:00,14-02-2017 0:00,Matias Reinoso,CerroNegro
EUK-005,2394225.81,4808201.96,635.2,0.9,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK-015,2394265.57,4808182.49,634.8,0.86,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
